TIMESTAMP,óòâêÑ éñàÅòö âÖéâö,BarVa,LoggerNo,tree,Location,SensorId,Çôç éñàÅò íÖêöâ,àéî éâê,àéî éóë,ÑöÄÉÖö,mVolts,BarView,mVoltesView
11/02/2017 12:22:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:28:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:28:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:28:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:28:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:34:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:34:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:34:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:34:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:40:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:40:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:40:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:40:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:46:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:46:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:46:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:46:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:52:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:52:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:52:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:52:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 12:58:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 12:58:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 12:58:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 12:58:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 13:04:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 13:04:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 13:04:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 13:04:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 13:10:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 13:10:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
11/02/2017 13:10:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,No
11/02/2017 13:10:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,Yes,Yes
11/02/2017 13:16:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,No
11/02/2017 13:16:00,15.2,2.37606837606838E+1,5,7,BET-SHEAN3,139,,11.0,20.9,3.0,710,No,Yes
